name,user,rate
Skazani na Shawshank,TheLittleSongbird,10
Skazani na Shawshank,Leofwine_draca,10
Skazani na Shawshank,SnoopyStyle,8
Skazani na Shawshank,bkoganbing,9
Skazani na Shawshank,Prismark10,7
Skazani na Shawshank,Sleepin_Dragon,10
Skazani na Shawshank,ma-cortes,9
Skazani na Shawshank,classicsoncall,10
Skazani na Shawshank,lee_eisenberg,10
Skazani na Shawshank,jboothmillard,10
Skazani na Shawshank,Tweekums,10
Skazani na Shawshank,gavin6942,10
Skazani na Shawshank,rmax304823,7
Skazani na Shawshank,moonspinner55,6
Skazani na Shawshank,Quinoa1984,10
Skazani na Shawshank,Calicodreamin,10
Skazani na Shawshank,safenoe,10
Skazani na Shawshank,edwagreen,10
Skazani na Shawshank,bombersflyup,10
Skazani na Shawshank,AlsExGal,10
Skazani na Shawshank,LeonLouisRicci,8
Ojciec chrzestny,planktonrules,10
Ojciec chrzestny,TheLittleSongbird,10
Ojciec chrzestny,Leofwine_draca,10
Ojciec chrzestny,SnoopyStyle,10
Ojciec chrzestny,bkoganbing,10
Ojciec chrzestny,Hitchcoc,10
Ojciec chrzestny,Prismark10,10
Ojciec chrzestny,Sleepin_Dragon,10
Ojciec chrzestny,Horst_In_Translation,8
Ojciec chrzestny,kosmasp,10
Ojciec chrzestny,classicsoncall,10
Ojciec chrzestny,lee_eisenberg,10
Ojciec chrzestny,jboothmillard,10
Ojciec chrzestny,Tweekums,10
Ojciec chrzestny,BA_Harrison,10
Ojciec chrzestny,gavin6942,8
Ojciec chrzestny,rmax304823,8
Ojciec chrzestny,ccthemovieman-1,9
Ojciec chrzestny,moonspinner55,7
Ojciec chrzestny,Quinoa1984,10
Mroczny Rycerz,planktonrules,9
Mroczny Rycerz,TheLittleSongbird,8
Mroczny Rycerz,Leofwine_draca,8
Mroczny Rycerz,SnoopyStyle,9
Mroczny Rycerz,Hitchcoc,9
Mroczny Rycerz,Prismark10,7
Mroczny Rycerz,Sleepin_Dragon,10
Mroczny Rycerz,kosmasp,10
Mroczny Rycerz,claudio_carvalho,9
Mroczny Rycerz,paul_haakonsen,8
Mroczny Rycerz,ma-cortes,8
Mroczny Rycerz,classicsoncall,10
Mroczny Rycerz,lee_eisenberg,9
Mroczny Rycerz,jboothmillard,8
Mroczny Rycerz,Tweekums,10
Mroczny Rycerz,BA_Harrison,5
Mroczny Rycerz,gavin6942,9
Mroczny Rycerz,rmax304823,3
