movie,actor,year,ranking,votes
Skazani na Shawshank,Tim Robbins,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Morgan Freeman,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Bob Gunton,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,William Sadler,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Clancy Brown,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Gil Bellows,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Mark Rolston,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,James Whitmore,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Jeffrey DeMunn,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Larry Brandenburg,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Neil Giuntoli,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Brian Libby,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,David Proval,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Joseph Ragno,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Jude Ciccolella,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Paul McCrane,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Renee Blaine,110.77777777777777,0.5166666666666667,155555.55555555556
Skazani na Shawshank,Scott Mann,110.77777777777777,0.5166666666666667,155555.55555555556
Ojciec chrzestny,Marlon Brando,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Al Pacino,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,James Caan,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Diane Keaton,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Richard S. Castellano,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Robert Duvall,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Sterling Hayden,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,John Marley,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Richard Conte,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Al Lettieri,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Abe Vigoda,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Talia Shire,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Gianni Russo,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,John Cazale,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Rudy Bond,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Al Martino,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Morgana King,109.55555555555556,0.5111111111111111,111111.11111111111
Ojciec chrzestny,Lenny Montana,109.55555555555556,0.5111111111111111,111111.11111111111
Mroczny Rycerz,Christian Bale,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Heath Ledger,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Aaron Eckhart,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Michael Caine,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Maggie Gyllenhaal,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Gary Oldman,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Morgan Freeman,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Monique Gabriela Curnen,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Ron Dean,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Cillian Murphy,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Chin Han,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Nestor Carbonell,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Eric Roberts,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Ritchie Coster,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Anthony Michael Hall,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Keith Szarabajka,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Colin McFarlane,111.55555555555556,0.5,155555.55555555556
Mroczny Rycerz,Joshua Harto,111.55555555555556,0.5,155555.55555555556
Ojciec chrzestny II,Al Pacino,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Robert De Niro,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Robert Duvall,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Diane Keaton,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,John Cazale,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Talia Shire,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Lee Strasberg,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Michael V. Gazzo,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,G.D. Spradlin,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Richard Bright,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Gastone Moschin,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Tom Rosqui,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Bruno Kirby,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Frank Sivero,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Francesca De Sapio,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Morgana King,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Marianna Hill,109.66666666666667,0.5,72222.22222222222
Ojciec chrzestny II,Leopoldo Trieste,109.66666666666667,0.5,72222.22222222222
Dwunastu gniewnych ludzi,Henry Fonda,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Lee J. Cobb,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Martin Balsam,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,John Fiedler,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,E.G. Marshall,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Jack Klugman,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Edward Binns,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Jack Warden,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Joseph Sweeney,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Ed Begley,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,George Voskovec,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Robert Webber,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Rudy Bond,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Tom Gorman,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,James Kelly,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Billy Nelson,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,John Savoca,108.72222222222223,0.5,47166.666666666664
Dwunastu gniewnych ludzi,Walter Stocker,108.72222222222223,0.5,47166.666666666664
Lista Schindlera,Liam Neeson,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Ralph Fiennes,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Ben Kingsley,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Caroline Goodall,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Jonathan Sagall,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Embeth Davidtz,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Malgorzata Gebel,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Shmuel Levy,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Mark Ivanir,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Béatrice Macola,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Andrzej Seweryn,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Friedrich von Thun,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Krzysztof Luft,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Harry Nehring,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Norbert Weisser,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Adi Nitzan,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Michael Schneider,110.72222222222223,0.5,77777.77777777778
Lista Schindlera,Miri Fabian,110.72222222222223,0.5,77777.77777777778
Władca Pierścieni: Powrót króla,Elijah Wood,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Viggo Mortensen,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Ian McKellen,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Orlando Bloom,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Noel Appleby,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Ali Astin,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Sean Astin,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,David Aston,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,John Bach,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Sean Bean,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Cate Blanchett,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Billy Boyd,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Sadwyn Brophy,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Alistair Browning,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Marton Csokas,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Richard Edge,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Jason Fitch,111.27777777777777,0.5,105555.55555555556
Władca Pierścieni: Powrót króla,Bernard Hill,111.27777777777777,0.5,105555.55555555556
Pulp Fiction,John Travolta,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Uma Thurman,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Samuel L. Jackson,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Bruce Willis,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Tim Roth,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Amanda Plummer,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Laura Lovelace,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Phil LaMarr,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Frank Whaley,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Burr Steers,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Ving Rhames,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Paul Calderon,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Bronagh Gallagher,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Rosanna Arquette,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Eric Stoltz,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Jerome Patrick Hoban,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Michael Gilden,110.77777777777777,0.49444444444444446,122222.22222222222
Pulp Fiction,Gary Shorelle,110.77777777777777,0.49444444444444446,122222.22222222222
Władca Pierścieni: Drużyna Pierścienia,Elijah Wood,111.16666666666667,0.49444444444444446,111111.11111111111
Władca Pierścieni: Drużyna Pierścienia,Ian McKellen,111.16666666666667,0.49444444444444446,111111.11111111111
Władca Pierścieni: Drużyna Pierścienia,Orlando Bloom,111.16666666666667,0.49444444444444446,111111.11111111111
Władca Pierścieni: Drużyna Pierścienia,Sean Bean,111.16666666666667,0.49444444444444446,111111.11111111111
Władca Pierścieni: Drużyna Pierścienia,Alan Howard,111.16666666666667,0.49444444444444446,111111.11111111111
