movie,actor
Skazani na Shawshank,Tim Robbins
Skazani na Shawshank,Morgan Freeman
Skazani na Shawshank,Bob Gunton
Skazani na Shawshank,William Sadler
Skazani na Shawshank,Clancy Brown
Skazani na Shawshank,Gil Bellows
Skazani na Shawshank,Mark Rolston
Skazani na Shawshank,James Whitmore
Skazani na Shawshank,Jeffrey DeMunn
Skazani na Shawshank,Larry Brandenburg
Skazani na Shawshank,Neil Giuntoli
Skazani na Shawshank,Brian Libby
Skazani na Shawshank,David Proval
Skazani na Shawshank,Joseph Ragno
Skazani na Shawshank,Jude Ciccolella
Skazani na Shawshank,Paul McCrane
Skazani na Shawshank,Renee Blaine
Skazani na Shawshank,Scott Mann
Ojciec chrzestny,Marlon Brando
Ojciec chrzestny,Al Pacino
Ojciec chrzestny,James Caan
Ojciec chrzestny,Diane Keaton
Ojciec chrzestny,Richard S. Castellano
Ojciec chrzestny,Robert Duvall
Ojciec chrzestny,Sterling Hayden
Ojciec chrzestny,John Marley
Ojciec chrzestny,Richard Conte
Ojciec chrzestny,Al Lettieri
Ojciec chrzestny,Abe Vigoda
Ojciec chrzestny,Talia Shire
Ojciec chrzestny,Gianni Russo
Ojciec chrzestny,John Cazale
Ojciec chrzestny,Rudy Bond
Ojciec chrzestny,Al Martino
Ojciec chrzestny,Morgana King
Ojciec chrzestny,Lenny Montana
Mroczny Rycerz,Christian Bale
Mroczny Rycerz,Heath Ledger
Mroczny Rycerz,Aaron Eckhart
Mroczny Rycerz,Michael Caine
Mroczny Rycerz,Maggie Gyllenhaal
Mroczny Rycerz,Gary Oldman
Mroczny Rycerz,Morgan Freeman
Mroczny Rycerz,Monique Gabriela Curnen
Mroczny Rycerz,Ron Dean
Mroczny Rycerz,Cillian Murphy
Mroczny Rycerz,Chin Han
Mroczny Rycerz,Nestor Carbonell
Mroczny Rycerz,Eric Roberts
Mroczny Rycerz,Ritchie Coster
Mroczny Rycerz,Anthony Michael Hall
Mroczny Rycerz,Keith Szarabajka
Mroczny Rycerz,Colin McFarlane
Mroczny Rycerz,Joshua Harto
Ojciec chrzestny II,Al Pacino
Ojciec chrzestny II,Robert De Niro
Ojciec chrzestny II,Robert Duvall
Ojciec chrzestny II,Diane Keaton
Ojciec chrzestny II,John Cazale
Ojciec chrzestny II,Talia Shire
Ojciec chrzestny II,Lee Strasberg
Ojciec chrzestny II,Michael V. Gazzo
Ojciec chrzestny II,G.D. Spradlin
Ojciec chrzestny II,Richard Bright
Ojciec chrzestny II,Gastone Moschin
Ojciec chrzestny II,Tom Rosqui
Ojciec chrzestny II,Bruno Kirby
Ojciec chrzestny II,Frank Sivero
Ojciec chrzestny II,Francesca De Sapio
Ojciec chrzestny II,Morgana King
Ojciec chrzestny II,Marianna Hill
Ojciec chrzestny II,Leopoldo Trieste
Dwunastu gniewnych ludzi,Henry Fonda
Dwunastu gniewnych ludzi,Lee J. Cobb
Dwunastu gniewnych ludzi,Martin Balsam
Dwunastu gniewnych ludzi,John Fiedler
Dwunastu gniewnych ludzi,E.G. Marshall
Dwunastu gniewnych ludzi,Jack Klugman
Dwunastu gniewnych ludzi,Edward Binns
Dwunastu gniewnych ludzi,Jack Warden
Dwunastu gniewnych ludzi,Joseph Sweeney
Dwunastu gniewnych ludzi,Ed Begley
Dwunastu gniewnych ludzi,George Voskovec
Dwunastu gniewnych ludzi,Robert Webber
Dwunastu gniewnych ludzi,Rudy Bond
Dwunastu gniewnych ludzi,Tom Gorman
Dwunastu gniewnych ludzi,James Kelly
Dwunastu gniewnych ludzi,Billy Nelson
Dwunastu gniewnych ludzi,John Savoca
Dwunastu gniewnych ludzi,Walter Stocker
Lista Schindlera,Liam Neeson
Lista Schindlera,Ralph Fiennes
Lista Schindlera,Ben Kingsley
Lista Schindlera,Caroline Goodall
Lista Schindlera,Jonathan Sagall
Lista Schindlera,Embeth Davidtz
Lista Schindlera,Malgorzata Gebel
Lista Schindlera,Shmuel Levy
Lista Schindlera,Mark Ivanir
Lista Schindlera,Béatrice Macola
Lista Schindlera,Andrzej Seweryn
Lista Schindlera,Friedrich von Thun
Lista Schindlera,Krzysztof Luft
Lista Schindlera,Harry Nehring
Lista Schindlera,Norbert Weisser
Lista Schindlera,Adi Nitzan
Lista Schindlera,Michael Schneider
Lista Schindlera,Miri Fabian
Władca Pierścieni: Powrót króla,Elijah Wood
Władca Pierścieni: Powrót króla,Viggo Mortensen
Władca Pierścieni: Powrót króla,Ian McKellen
Władca Pierścieni: Powrót króla,Orlando Bloom
Władca Pierścieni: Powrót króla,Noel Appleby
Władca Pierścieni: Powrót króla,Ali Astin
Władca Pierścieni: Powrót króla,Sean Astin
Władca Pierścieni: Powrót króla,David Aston
Władca Pierścieni: Powrót króla,John Bach
Władca Pierścieni: Powrót króla,Sean Bean
Władca Pierścieni: Powrót króla,Cate Blanchett
Władca Pierścieni: Powrót króla,Billy Boyd
Władca Pierścieni: Powrót króla,Sadwyn Brophy
Władca Pierścieni: Powrót króla,Alistair Browning
Władca Pierścieni: Powrót króla,Marton Csokas
Władca Pierścieni: Powrót króla,Richard Edge
Władca Pierścieni: Powrót króla,Jason Fitch
Władca Pierścieni: Powrót króla,Bernard Hill
Pulp Fiction,John Travolta
Pulp Fiction,Uma Thurman
Pulp Fiction,Samuel L. Jackson
Pulp Fiction,Bruce Willis
Pulp Fiction,Tim Roth
Pulp Fiction,Amanda Plummer
Pulp Fiction,Laura Lovelace
Pulp Fiction,Phil LaMarr
Pulp Fiction,Frank Whaley
Pulp Fiction,Burr Steers
Pulp Fiction,Ving Rhames
Pulp Fiction,Paul Calderon
Pulp Fiction,Bronagh Gallagher
Pulp Fiction,Rosanna Arquette
Pulp Fiction,Eric Stoltz
Pulp Fiction,Jerome Patrick Hoban
Pulp Fiction,Michael Gilden
Pulp Fiction,Gary Shorelle
Władca Pierścieni: Drużyna Pierścienia,Elijah Wood
Władca Pierścieni: Drużyna Pierścienia,Ian McKellen
Władca Pierścieni: Drużyna Pierścienia,Orlando Bloom
Władca Pierścieni: Drużyna Pierścienia,Sean Bean
Władca Pierścieni: Drużyna Pierścienia,Alan Howard
Władca Pierścieni: Drużyna Pierścienia,Noel Appleby
Władca Pierścieni: Drużyna Pierścienia,Sean Astin
Władca Pierścieni: Drużyna Pierścienia,Sala Baker
