movie,actor,n,year,ranking,votes
Skazani na Shawshank,Tim Robbins,18,1994,9.3,2800000
Skazani na Shawshank,Morgan Freeman,18,1994,9.3,2800000
Skazani na Shawshank,Bob Gunton,18,1994,9.3,2800000
Skazani na Shawshank,William Sadler,18,1994,9.3,2800000
Skazani na Shawshank,Clancy Brown,18,1994,9.3,2800000
Skazani na Shawshank,Gil Bellows,18,1994,9.3,2800000
Skazani na Shawshank,Mark Rolston,18,1994,9.3,2800000
Skazani na Shawshank,James Whitmore,18,1994,9.3,2800000
Skazani na Shawshank,Jeffrey DeMunn,18,1994,9.3,2800000
Skazani na Shawshank,Larry Brandenburg,18,1994,9.3,2800000
Skazani na Shawshank,Neil Giuntoli,18,1994,9.3,2800000
Skazani na Shawshank,Brian Libby,18,1994,9.3,2800000
Skazani na Shawshank,David Proval,18,1994,9.3,2800000
Skazani na Shawshank,Joseph Ragno,18,1994,9.3,2800000
Skazani na Shawshank,Jude Ciccolella,18,1994,9.3,2800000
Skazani na Shawshank,Paul McCrane,18,1994,9.3,2800000
Skazani na Shawshank,Renee Blaine,18,1994,9.3,2800000
Skazani na Shawshank,Scott Mann,18,1994,9.3,2800000
Ojciec chrzestny,Marlon Brando,18,1972,9.2,2000000
Ojciec chrzestny,Al Pacino,18,1972,9.2,2000000
Ojciec chrzestny,James Caan,18,1972,9.2,2000000
Ojciec chrzestny,Diane Keaton,18,1972,9.2,2000000
Ojciec chrzestny,Richard S. Castellano,18,1972,9.2,2000000
Ojciec chrzestny,Robert Duvall,18,1972,9.2,2000000
Ojciec chrzestny,Sterling Hayden,18,1972,9.2,2000000
Ojciec chrzestny,John Marley,18,1972,9.2,2000000
Ojciec chrzestny,Richard Conte,18,1972,9.2,2000000
Ojciec chrzestny,Al Lettieri,18,1972,9.2,2000000
Ojciec chrzestny,Abe Vigoda,18,1972,9.2,2000000
Ojciec chrzestny,Talia Shire,18,1972,9.2,2000000
Ojciec chrzestny,Gianni Russo,18,1972,9.2,2000000
Ojciec chrzestny,John Cazale,18,1972,9.2,2000000
Ojciec chrzestny,Rudy Bond,18,1972,9.2,2000000
Ojciec chrzestny,Al Martino,18,1972,9.2,2000000
Ojciec chrzestny,Morgana King,18,1972,9.2,2000000
Ojciec chrzestny,Lenny Montana,18,1972,9.2,2000000
Mroczny Rycerz,Christian Bale,18,2008,9,2800000
Mroczny Rycerz,Heath Ledger,18,2008,9,2800000
Mroczny Rycerz,Aaron Eckhart,18,2008,9,2800000
Mroczny Rycerz,Michael Caine,18,2008,9,2800000
Mroczny Rycerz,Maggie Gyllenhaal,18,2008,9,2800000
Mroczny Rycerz,Gary Oldman,18,2008,9,2800000
Mroczny Rycerz,Morgan Freeman,18,2008,9,2800000
Mroczny Rycerz,Monique Gabriela Curnen,18,2008,9,2800000
Mroczny Rycerz,Ron Dean,18,2008,9,2800000
Mroczny Rycerz,Cillian Murphy,18,2008,9,2800000
Mroczny Rycerz,Chin Han,18,2008,9,2800000
Mroczny Rycerz,Nestor Carbonell,18,2008,9,2800000
Mroczny Rycerz,Eric Roberts,18,2008,9,2800000
Mroczny Rycerz,Ritchie Coster,18,2008,9,2800000
Mroczny Rycerz,Anthony Michael Hall,18,2008,9,2800000
Mroczny Rycerz,Keith Szarabajka,18,2008,9,2800000
Mroczny Rycerz,Colin McFarlane,18,2008,9,2800000
Mroczny Rycerz,Joshua Harto,18,2008,9,2800000
Ojciec chrzestny II,Al Pacino,18,1974,9,1300000
Ojciec chrzestny II,Robert De Niro,18,1974,9,1300000
Ojciec chrzestny II,Robert Duvall,18,1974,9,1300000
Ojciec chrzestny II,Diane Keaton,18,1974,9,1300000
Ojciec chrzestny II,John Cazale,18,1974,9,1300000
Ojciec chrzestny II,Talia Shire,18,1974,9,1300000
Ojciec chrzestny II,Lee Strasberg,18,1974,9,1300000
Ojciec chrzestny II,Michael V. Gazzo,18,1974,9,1300000
Ojciec chrzestny II,G.D. Spradlin,18,1974,9,1300000
Ojciec chrzestny II,Richard Bright,18,1974,9,1300000
Ojciec chrzestny II,Gastone Moschin,18,1974,9,1300000
Ojciec chrzestny II,Tom Rosqui,18,1974,9,1300000
Ojciec chrzestny II,Bruno Kirby,18,1974,9,1300000
Ojciec chrzestny II,Frank Sivero,18,1974,9,1300000
Ojciec chrzestny II,Francesca De Sapio,18,1974,9,1300000
Ojciec chrzestny II,Morgana King,18,1974,9,1300000
Ojciec chrzestny II,Marianna Hill,18,1974,9,1300000
Ojciec chrzestny II,Leopoldo Trieste,18,1974,9,1300000
Dwunastu gniewnych ludzi,Henry Fonda,18,1957,9,849000
Dwunastu gniewnych ludzi,Lee J. Cobb,18,1957,9,849000
Dwunastu gniewnych ludzi,Martin Balsam,18,1957,9,849000
Dwunastu gniewnych ludzi,John Fiedler,18,1957,9,849000
Dwunastu gniewnych ludzi,E.G. Marshall,18,1957,9,849000
Dwunastu gniewnych ludzi,Jack Klugman,18,1957,9,849000
Dwunastu gniewnych ludzi,Edward Binns,18,1957,9,849000
Dwunastu gniewnych ludzi,Jack Warden,18,1957,9,849000
Dwunastu gniewnych ludzi,Joseph Sweeney,18,1957,9,849000
Dwunastu gniewnych ludzi,Ed Begley,18,1957,9,849000
Dwunastu gniewnych ludzi,George Voskovec,18,1957,9,849000
Dwunastu gniewnych ludzi,Robert Webber,18,1957,9,849000
Dwunastu gniewnych ludzi,Rudy Bond,18,1957,9,849000
Dwunastu gniewnych ludzi,Tom Gorman,18,1957,9,849000
Dwunastu gniewnych ludzi,James Kelly,18,1957,9,849000
Dwunastu gniewnych ludzi,Billy Nelson,18,1957,9,849000
Dwunastu gniewnych ludzi,John Savoca,18,1957,9,849000
Dwunastu gniewnych ludzi,Walter Stocker,18,1957,9,849000
Lista Schindlera,Liam Neeson,18,1993,9,1400000
Lista Schindlera,Ralph Fiennes,18,1993,9,1400000
Lista Schindlera,Ben Kingsley,18,1993,9,1400000
Lista Schindlera,Caroline Goodall,18,1993,9,1400000
Lista Schindlera,Jonathan Sagall,18,1993,9,1400000
Lista Schindlera,Embeth Davidtz,18,1993,9,1400000
Lista Schindlera,Malgorzata Gebel,18,1993,9,1400000
Lista Schindlera,Shmuel Levy,18,1993,9,1400000
Lista Schindlera,Mark Ivanir,18,1993,9,1400000
Lista Schindlera,Béatrice Macola,18,1993,9,1400000
Lista Schindlera,Andrzej Seweryn,18,1993,9,1400000
Lista Schindlera,Friedrich von Thun,18,1993,9,1400000
Lista Schindlera,Krzysztof Luft,18,1993,9,1400000
Lista Schindlera,Harry Nehring,18,1993,9,1400000
Lista Schindlera,Norbert Weisser,18,1993,9,1400000
Lista Schindlera,Adi Nitzan,18,1993,9,1400000
Lista Schindlera,Michael Schneider,18,1993,9,1400000
Lista Schindlera,Miri Fabian,18,1993,9,1400000
Władca Pierścieni: Powrót króla,Elijah Wood,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Viggo Mortensen,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Ian McKellen,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Orlando Bloom,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Noel Appleby,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Ali Astin,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Sean Astin,18,2003,9,1900000
Władca Pierścieni: Powrót króla,David Aston,18,2003,9,1900000
Władca Pierścieni: Powrót króla,John Bach,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Sean Bean,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Cate Blanchett,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Billy Boyd,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Sadwyn Brophy,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Alistair Browning,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Marton Csokas,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Richard Edge,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Jason Fitch,18,2003,9,1900000
Władca Pierścieni: Powrót króla,Bernard Hill,18,2003,9,1900000
Pulp Fiction,John Travolta,18,1994,8.9,2200000
Pulp Fiction,Uma Thurman,18,1994,8.9,2200000
Pulp Fiction,Samuel L. Jackson,18,1994,8.9,2200000
Pulp Fiction,Bruce Willis,18,1994,8.9,2200000
Pulp Fiction,Tim Roth,18,1994,8.9,2200000
Pulp Fiction,Amanda Plummer,18,1994,8.9,2200000
Pulp Fiction,Laura Lovelace,18,1994,8.9,2200000
Pulp Fiction,Phil LaMarr,18,1994,8.9,2200000
Pulp Fiction,Frank Whaley,18,1994,8.9,2200000
Pulp Fiction,Burr Steers,18,1994,8.9,2200000
Pulp Fiction,Ving Rhames,18,1994,8.9,2200000
Pulp Fiction,Paul Calderon,18,1994,8.9,2200000
Pulp Fiction,Bronagh Gallagher,18,1994,8.9,2200000
Pulp Fiction,Rosanna Arquette,18,1994,8.9,2200000
Pulp Fiction,Eric Stoltz,18,1994,8.9,2200000
Pulp Fiction,Jerome Patrick Hoban,18,1994,8.9,2200000
Pulp Fiction,Michael Gilden,18,1994,8.9,2200000
Pulp Fiction,Gary Shorelle,18,1994,8.9,2200000
Władca Pierścieni: Drużyna Pierścienia,Elijah Wood,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Ian McKellen,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Orlando Bloom,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Sean Bean,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Alan Howard,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Noel Appleby,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Sean Astin,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Sala Baker,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Billy Boyd,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Andy Serkis,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Marton Csokas,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Viggo Mortensen,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Megan Edwards,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Michael Elsworth,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Cate Blanchett,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Mark Ferguson,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Ian Holm,18,2001,8.9,2000000
Władca Pierścieni: Drużyna Pierścienia,Christopher Lee,18,2001,8.9,2000000
"Dobry, zły i brzydki",Clint Eastwood,18,1966,8.8,800000
"Dobry, zły i brzydki",Eli Wallach,18,1966,8.8,800000
"Dobry, zły i brzydki",Lee Van Cleef,18,1966,8.8,800000
"Dobry, zły i brzydki",Aldo Giuffrè,18,1966,8.8,800000
"Dobry, zły i brzydki",Luigi Pistilli,18,1966,8.8,800000
"Dobry, zły i brzydki",Rada Rassimov,18,1966,8.8,800000
"Dobry, zły i brzydki",Enzo Petito,18,1966,8.8,800000
"Dobry, zły i brzydki",Claudio Scarchilli,18,1966,8.8,800000
"Dobry, zły i brzydki",John Bartha,18,1966,8.8,800000
"Dobry, zły i brzydki",Livio Lorenzon,18,1966,8.8,800000
"Dobry, zły i brzydki",Antonio Casale,18,1966,8.8,800000
"Dobry, zły i brzydki",Sandro Scarchilli,18,1966,8.8,800000
"Dobry, zły i brzydki",Benito Stefanelli,18,1966,8.8,800000
"Dobry, zły i brzydki",Angelo Novi,18,1966,8.8,800000
"Dobry, zły i brzydki",Antonio Casas,18,1966,8.8,800000
"Dobry, zły i brzydki",Aldo Sambrell,18,1966,8.8,800000
"Dobry, zły i brzydki",Al Mulock,18,1966,8.8,800000
"Dobry, zły i brzydki",Sergio Mendizábal,18,1966,8.8,800000
Forrest Gump,Tom Hanks,18,1994,8.8,2200000
Forrest Gump,Robin Wright,18,1994,8.8,2200000
Forrest Gump,Gary Sinise,18,1994,8.8,2200000
Forrest Gump,Sally Field,18,1994,8.8,2200000
Forrest Gump,Rebecca Williams,18,1994,8.8,2200000
Forrest Gump,Michael Conner Humphreys,18,1994,8.8,2200000
Forrest Gump,Harold G. Herthum,18,1994,8.8,2200000
Forrest Gump,George Kelly,18,1994,8.8,2200000
Forrest Gump,Bob Penny,18,1994,8.8,2200000
Forrest Gump,John Randall,18,1994,8.8,2200000
Forrest Gump,Sam Anderson,18,1994,8.8,2200000
Forrest Gump,Margo Moorer,18,1994,8.8,2200000
Forrest Gump,Ione M. Telech,18,1994,8.8,2200000
Forrest Gump,Christine Seabrook,18,1994,8.8,2200000
Forrest Gump,John Worsham,18,1994,8.8,2200000
Forrest Gump,Peter Dobson,18,1994,8.8,2200000
Forrest Gump,Siobhan Fallon Hogan,18,1994,8.8,2200000
Forrest Gump,Alexander Zemeckis,18,1994,8.8,2200000
Podziemny krąg,Brad Pitt,18,1999,8.8,2300000
Podziemny krąg,Edward Norton,18,1999,8.8,2300000
Podziemny krąg,Meat Loaf,18,1999,8.8,2300000
Podziemny krąg,Zach Grenier,18,1999,8.8,2300000
Podziemny krąg,Richmond Arquette,18,1999,8.8,2300000
Podziemny krąg,David Andrews,18,1999,8.8,2300000
Podziemny krąg,George Maguire,18,1999,8.8,2300000
Podziemny krąg,Eugenie Bondurant,18,1999,8.8,2300000
Podziemny krąg,Christina Cabot,18,1999,8.8,2300000
Podziemny krąg,Helena Bonham Carter,18,1999,8.8,2300000
Podziemny krąg,Sydney 'Big Dawg' Colston,18,1999,8.8,2300000
Podziemny krąg,Rachel Singer,18,1999,8.8,2300000
Podziemny krąg,Christie Cronenweth,18,1999,8.8,2300000
Podziemny krąg,Tim DeZarn,18,1999,8.8,2300000
Podziemny krąg,Ezra Buzzington,18,1999,8.8,2300000
Podziemny krąg,Dierdre Downing-Jackson,18,1999,8.8,2300000
Podziemny krąg,Bob Stephenson,18,1999,8.8,2300000
Podziemny krąg,Charlie Dell,18,1999,8.8,2300000
Władca Pierścieni: Dwie wieże,Elijah Wood,18,2002,8.8,1800000
Władca Pierścieni: Dwie wieże,Ian McKellen,18,2002,8.8,1800000
Władca Pierścieni: Dwie wieże,Viggo Mortensen,18,2002,8.8,1800000
Władca Pierścieni: Dwie wieże,Orlando Bloom,18,2002,8.8,1800000
Władca Pierścieni: Dwie wieże,Bruce Allpress,18,2002,8.8,1800000
Władca Pierścieni: Dwie wieże,Sean Astin,18,2002,8.8,1800000
